dataset,stage,block,label,pw1_mean,pw1_std,pw2_mean,pw2_std
cifar10,1,1,S1-B1,0.4900,0.4078,23.1833,5.1387
cifar10,1,2,S1-B2,15.3600,23.4404,22.6200,2.5003
cifar10,2,1,S2-B1,47.0433,0.8069,97.9233,0.5382
cifar10,2,2,S2-B2,44.1767,2.8207,96.6067,0.6825
cifar10,3,1,S3-B1,47.8067,0.0603,96.6533,0.3121
cifar10,3,2,S3-B2,51.4400,0.9042,97.1000,0.1300
cifar10,3,3,S3-B3,54.8133,2.6470,98.4133,0.1950
cifar10,3,4,S3-B4,52.3300,2.2616,97.2833,1.4117
cifar10,3,5,S3-B5,51.6700,2.9362,97.0633,0.7488
cifar10,3,6,S3-B6,50.9500,3.3753,96.2700,0.9035
cifar10,4,1,S4-B1,50.5567,0.7685,89.4167,0.4535
cifar10,4,2,S4-B2,52.9500,2.3776,87.8733,0.5659
cifar100,1,1,S1-B1,14.7467,24.8006,19.9400,8.4257
cifar100,1,2,S1-B2,2.9367,3.0830,24.4467,1.2595
cifar100,2,1,S2-B1,46.0133,0.8541,96.7567,0.4412
cifar100,2,2,S2-B2,41.1900,3.1048,93.0000,1.9014
cifar100,3,1,S3-B1,42.0800,3.7644,94.6867,1.9353
cifar100,3,2,S3-B2,46.8200,1.1651,97.0533,0.6101
cifar100,3,3,S3-B3,47.5100,0.7713,97.2867,1.7517
cifar100,3,4,S3-B4,48.2033,0.9174,98.6300,0.3251
cifar100,3,5,S3-B5,49.1900,1.3931,96.3667,2.2358
cifar100,3,6,S3-B6,48.7367,1.5482,97.9333,0.8247
cifar100,4,1,S4-B1,53.3500,0.6075,85.5300,1.0812
cifar100,4,2,S4-B2,51.5967,1.9558,76.4100,0.9802
