index,weight_v2,weight_v3,weight_v4,accuracy,loss,correct,samples
0,0.0,0.0,1.0,95.0,0.19298159902095793,4750,5000
1,0.0,0.1,0.9,94.98,0.19405069296360017,4749,5000
2,0.0,0.2,0.8,94.98,0.19515324985980986,4749,5000
3,0.0,0.3,0.7,94.94,0.19632624518871308,4747,5000
4,0.0,0.4,0.6,94.92,0.19752531025409698,4746,5000
5,0.0,0.5,0.5,94.9,0.1988212483882904,4745,5000
6,0.0,0.6,0.4,94.94,0.20016320083141326,4747,5000
7,0.0,0.7,0.3,94.92,0.2016138822078705,4746,5000
8,0.0,0.8,0.2,94.92,0.203079203915596,4746,5000
9,0.0,0.9,0.1,94.96,0.20465227041244508,4748,5000
10,0.0,1.0,0.0,94.94,0.20626650745868683,4747,5000
11,0.1,0.0,0.9,94.96,0.19436529698371888,4748,5000
12,0.1,0.1,0.8,94.94,0.1955037079811096,4747,5000
13,0.1,0.2,0.7,94.96,0.196710906791687,4748,5000
14,0.1,0.3,0.6,94.96,0.19794962623119355,4748,5000
15,0.1,0.4,0.5,94.98,0.19927888526916504,4749,5000
16,0.1,0.5,0.4,94.96,0.20067866053581238,4748,5000
17,0.1,0.6,0.3,94.96,0.2021269397497177,4748,5000
18,0.1,0.7,0.2,94.94,0.20365531299114228,4747,5000
19,0.1,0.8,0.1,94.96,0.20524423384666443,4748,5000
20,0.1,0.9,0.0,94.96,0.20688807690143585,4748,5000
21,0.2,0.0,0.8,94.92,0.1959715762615204,4746,5000
22,0.2,0.1,0.7,94.92,0.197201118016243,4746,5000
23,0.2,0.2,0.6,94.94,0.19846977574825286,4747,5000
24,0.2,0.3,0.5,94.94,0.1998581267595291,4747,5000
25,0.2,0.4,0.4,94.94,0.20128812460899353,4747,5000
26,0.2,0.5,0.3,94.92,0.20275223395824432,4746,5000
27,0.2,0.6,0.2,94.96,0.2043130521774292,4748,5000
28,0.2,0.7,0.1,95.0,0.20597915685176849,4750,5000
29,0.2,0.8,0.0,94.98,0.20767138652801514,4749,5000
30,0.3,0.0,0.7,94.92,0.19774586527347565,4746,5000
31,0.3,0.1,0.6,94.88,0.19904243719577788,4744,5000
32,0.3,0.2,0.5,94.92,0.2004829015493393,4746,5000
33,0.3,0.3,0.4,94.9,0.20191684608459473,4745,5000
34,0.3,0.4,0.3,94.92,0.20347866475582121,4746,5000
35,0.3,0.5,0.2,94.92,0.20508712768554688,4746,5000
36,0.3,0.6,0.1,94.96,0.20675501265525817,4748,5000
37,0.3,0.7,0.0,94.98,0.20847140669822692,4749,5000
38,0.4,0.0,0.6,94.9,0.19972414913177491,4745,5000
39,0.4,0.1,0.5,94.92,0.20114062039852143,4746,5000
40,0.4,0.2,0.4,94.92,0.20265588274002075,4746,5000
41,0.4,0.3,0.3,94.92,0.20425165421962738,4746,5000
42,0.4,0.4,0.2,94.92,0.20587773325443268,4746,5000
43,0.4,0.5,0.1,94.94,0.2075626131296158,4747,5000
44,0.4,0.6,0.0,94.94,0.20937280530929567,4747,5000
45,0.5,0.0,0.5,94.96,0.20190934772491456,4748,5000
46,0.5,0.1,0.4,94.94,0.2034873579263687,4747,5000
47,0.5,0.2,0.3,94.9,0.2050962330341339,4745,5000
48,0.5,0.3,0.2,94.9,0.20676962900161744,4745,5000
49,0.5,0.4,0.1,94.92,0.20852713186740876,4746,5000
50,0.5,0.5,0.0,94.92,0.2103675080537796,4746,5000
51,0.6,0.0,0.4,94.92,0.20436551723480226,4746,5000
52,0.6,0.1,0.3,94.92,0.20603121647834777,4746,5000
53,0.6,0.2,0.2,94.9,0.2077542118549347,4745,5000
54,0.6,0.3,0.1,94.88,0.20958005206584931,4744,5000
55,0.6,0.4,0.0,94.88,0.21145739850997924,4744,5000
56,0.7,0.0,0.3,94.9,0.20712323870658875,4745,5000
57,0.7,0.1,0.2,94.92,0.20889874172210693,4746,5000
58,0.7,0.2,0.1,94.94,0.21071572740077973,4747,5000
59,0.7,0.3,0.0,94.94,0.21267064216136933,4747,5000
60,0.8,0.0,0.2,94.94,0.210107249212265,4747,5000
61,0.8,0.1,0.1,94.94,0.21200948231220246,4747,5000
62,0.8,0.2,0.0,94.96,0.21401301584243773,4748,5000
63,0.9,0.0,0.1,94.98,0.21336396179199218,4749,5000
64,0.9,0.1,0.0,94.98,0.21537392761707305,4749,5000
65,1.0,0.0,0.0,94.94,0.21687355976104736,4747,5000
