record_type,layer,measurement,operation,num_total,num_silent,num_spiking,sparsity_percent,input_events,input_neurons,nonzero_weights,weight_count,groups,kernel_h,kernel_w,dense_macs_per_sample,dense_macs_total_dataset,theoretical_synops_per_sample,theoretical_synops_total_dataset
activation,stages.0.0,final,,61440000,2333056,59106944,3.7972916666666667,,,,,,,,,,,
activation,stages.0.0,t_mid_spike,,245760000,49466688,196293312,20.128046875,,,,,,,,,,,
activation,stages.0.0,t_out_spike,,61440000,53668518,7771482,87.351103515625,,,,,,,,,,,
activation,stages.0.1,final,,61440000,1101591,60338409,1.7929541015625,,,,,,,,,,,
activation,stages.0.1,t_mid_spike,,245760000,79309395,166450605,32.27107543945313,,,,,,,,,,,
activation,stages.0.1,t_out_spike,,61440000,47117418,14322582,76.688505859375,,,,,,,,,,,
activation,stages.0.2,final,,61440000,599828,60840172,0.9762825520833334,,,,,,,,,,,
activation,stages.0.2,t_mid_spike,,245760000,99391867,146368133,40.44265421549479,,,,,,,,,,,
activation,stages.0.2,t_out_spike,,61440000,45732091,15707909,74.43374186197917,,,,,,,,,,,
activation,stages.1.0,final,,30720000,16446955,14273045,53.538264973958334,,,,,,,,,,,
activation,stages.1.0,t_mid_spike,,122880000,64261334,58618666,52.296007486979164,,,,,,,,,,,
activation,stages.1.0,t_out_spike,,30720000,23702115,7017885,77.155322265625,,,,,,,,,,,
activation,stages.1.1,final,,30720000,13149548,17570452,42.80451822916667,,,,,,,,,,,
activation,stages.1.1,t_mid_spike,,122880000,64613347,58266653,52.58247639973958,,,,,,,,,,,
activation,stages.1.1,t_out_spike,,30720000,25321314,5398686,82.42615234375,,,,,,,,,,,
activation,stages.1.2,final,,30720000,10224566,20495434,33.283092447916665,,,,,,,,,,,
activation,stages.1.2,t_mid_spike,,122880000,70890423,51989577,57.69077392578125,,,,,,,,,,,
activation,stages.1.2,t_out_spike,,30720000,25860295,4859705,84.18064778645834,,,,,,,,,,,
activation,stages.2.0,final,,15360000,9666425,5693575,62.932454427083336,,,,,,,,,,,
activation,stages.2.0,t_mid_spike,,61440000,37935022,23504978,61.74319986979167,,,,,,,,,,,
activation,stages.2.0,t_out_spike,,15360000,14988534,371466,97.5816015625,,,,,,,,,,,
activation,stages.2.1,final,,15360000,9666425,5693575,62.932454427083336,,,,,,,,,,,
activation,stages.2.1,t_mid_spike,,61440000,16405836,45034164,26.70220703125,,,,,,,,,,,
activation,stages.2.1,t_out_spike,,15360000,15360000,0,100.0,,,,,,,,,,,
activation,stages.2.2,final,,15360000,9602195,5757805,62.51429036458333,,,,,,,,,,,
activation,stages.2.2,t_mid_spike,,61440000,17264848,44175152,28.100338541666666,,,,,,,,,,,
activation,stages.2.2,t_out_spike,,15360000,15213384,146616,99.04546875,,,,,,,,,,,
activation,stages.2.3,final,,15360000,9422102,5937898,61.341809895833336,,,,,,,,,,,
activation,stages.2.3,t_mid_spike,,61440000,32702521,28737479,53.22675944010417,,,,,,,,,,,
activation,stages.2.3,t_out_spike,,15360000,15166790,193210,98.74212239583333,,,,,,,,,,,
activation,stages.2.4,final,,15360000,9336873,6023127,60.78693359375,,,,,,,,,,,
activation,stages.2.4,t_mid_spike,,61440000,35009853,26430147,56.9821826171875,,,,,,,,,,,
activation,stages.2.4,t_out_spike,,15360000,15229338,130662,99.1493359375,,,,,,,,,,,
activation,stages.2.5,final,,15360000,9312392,6047608,60.627552083333335,,,,,,,,,,,
activation,stages.2.5,t_mid_spike,,61440000,31940498,29499502,51.98648763020833,,,,,,,,,,,
activation,stages.2.5,t_out_spike,,15360000,15299335,60665,99.60504557291667,,,,,,,,,,,
activation,stages.2.6,final,,15360000,9081122,6278878,59.12188802083333,,,,,,,,,,,
activation,stages.2.6,t_mid_spike,,61440000,19573446,41866554,31.857822265625,,,,,,,,,,,
activation,stages.2.6,t_out_spike,,15360000,14956171,403829,97.37090494791667,,,,,,,,,,,
activation,stages.2.7,final,,15360000,8777016,6582984,57.14203125,,,,,,,,,,,
activation,stages.2.7,t_mid_spike,,61440000,28803754,32636246,46.88111002604167,,,,,,,,,,,
activation,stages.2.7,t_out_spike,,15360000,14846781,513219,96.65873046875,,,,,,,,,,,
activation,stages.2.8,final,,15360000,6041319,9318681,39.33150390625,,,,,,,,,,,
activation,stages.2.8,t_mid_spike,,61440000,33109671,28330329,53.8894384765625,,,,,,,,,,,
activation,stages.2.8,t_out_spike,,15360000,11831455,3528545,77.02770182291667,,,,,,,,,,,
activation,stages.3.0,final,,7680000,3524827,4155173,45.896184895833336,,,,,,,,,,,
activation,stages.3.0,t_mid_spike,,30720000,20563177,10156823,66.93742513020834,,,,,,,,,,,
activation,stages.3.0,t_out_spike,,7680000,4844305,2835695,63.07688802083333,,,,,,,,,,,
