record_type,layer,measurement,operation,num_total,num_silent,num_spiking,sparsity_percent,input_events,input_neurons,nonzero_weights,weight_count,groups,kernel_h,kernel_w,dense_macs_per_sample,dense_macs_total_dataset,theoretical_synops_per_sample,theoretical_synops_total_dataset
activation,stages.0.0,final,,3010560000,111445735,2899114265,3.701827400882228,,,,,,,,,,,
activation,stages.0.0,t_mid_spike,,12042240000,2455365382,9586874618,20.389606767511694,,,,,,,,,,,
activation,stages.0.0,t_out_spike,,3010560000,2627666248,382893752,87.28164354804422,,,,,,,,,,,
activation,stages.0.1,final,,3010560000,47661535,2962898465,1.5831451623618198,,,,,,,,,,,
activation,stages.0.1,t_mid_spike,,12042240000,3015900665,9026339335,25.044349431667197,,,,,,,,,,,
activation,stages.0.1,t_out_spike,,3010560000,2346100286,664459714,77.92903267166241,,,,,,,,,,,
activation,stages.0.2,final,,3010560000,26252917,2984307083,0.8720276958439626,,,,,,,,,,,
activation,stages.0.2,t_mid_spike,,12042240000,4350377497,7691862503,36.125982350459715,,,,,,,,,,,
activation,stages.0.2,t_out_spike,,3010560000,2453467899,557092101,81.49539949378189,,,,,,,,,,,
activation,stages.1.0,final,,1505280000,886526274,618753726,58.894443160076534,,,,,,,,,,,
activation,stages.1.0,t_mid_spike,,6021120000,2725895511,3295224489,45.27223358777105,,,,,,,,,,,
activation,stages.1.0,t_out_spike,,1505280000,1318379276,186900724,87.58365725977892,,,,,,,,,,,
activation,stages.1.1,final,,1505280000,737270666,768009334,48.978971752763606,,,,,,,,,,,
activation,stages.1.1,t_mid_spike,,6021120000,2591064080,3430055920,43.03292543579932,,,,,,,,,,,
activation,stages.1.1,t_out_spike,,1505280000,1309730812,195549188,87.0091153805272,,,,,,,,,,,
activation,stages.1.2,final,,1505280000,551656531,953623469,36.64810075201956,,,,,,,,,,,
activation,stages.1.2,t_mid_spike,,6021120000,3146904300,2874215700,52.26443419164541,,,,,,,,,,,
activation,stages.1.2,t_out_spike,,1505280000,1250657370,254622630,83.0846998565051,,,,,,,,,,,
activation,stages.2.0,final,,752640000,487701296,264938704,64.79874787414965,,,,,,,,,,,
activation,stages.2.0,t_mid_spike,,3010560000,2569640335,440919665,85.35423094042305,,,,,,,,,,,
activation,stages.2.0,t_out_spike,,752640000,742979455,9660545,98.71644544536565,,,,,,,,,,,
activation,stages.2.1,final,,752640000,487701296,264938704,64.79874787414965,,,,,,,,,,,
activation,stages.2.1,t_mid_spike,,3010560000,1670057888,1340502112,55.47333014455782,,,,,,,,,,,
activation,stages.2.1,t_out_spike,,752640000,752640000,0,100.0,,,,,,,,,,,
activation,stages.2.2,final,,752640000,486622365,266017635,64.65539500956632,,,,,,,,,,,
activation,stages.2.2,t_mid_spike,,3010560000,1832228364,1178331636,60.8600514190051,,,,,,,,,,,
activation,stages.2.2,t_out_spike,,752640000,751008218,1631782,99.78319223001701,,,,,,,,,,,
activation,stages.2.3,final,,752640000,484018411,268621589,64.30941897852891,,,,,,,,,,,
activation,stages.2.3,t_mid_spike,,3010560000,2205692287,804867713,73.26518278991284,,,,,,,,,,,
activation,stages.2.3,t_out_spike,,752640000,749431783,3208217,99.57373817495748,,,,,,,,,,,
activation,stages.2.4,final,,752640000,482259871,270380129,64.07576942495749,,,,,,,,,,,
activation,stages.2.4,t_mid_spike,,3010560000,2164729394,845830606,71.9045424771471,,,,,,,,,,,
activation,stages.2.4,t_out_spike,,752640000,750334457,2305543,99.69367253932823,,,,,,,,,,,
activation,stages.2.5,final,,752640000,480137453,272502547,63.7937729857568,,,,,,,,,,,
activation,stages.2.5,t_mid_spike,,3010560000,2066647754,943912246,68.64662235597363,,,,,,,,,,,
activation,stages.2.5,t_out_spike,,752640000,750380621,2259379,99.69980614902211,,,,,,,,,,,
activation,stages.2.6,final,,752640000,478404045,274235955,63.56346261160714,,,,,,,,,,,
activation,stages.2.6,t_mid_spike,,3010560000,2170445719,840114281,72.09441828098427,,,,,,,,,,,
activation,stages.2.6,t_out_spike,,752640000,750258250,2381750,99.68354724702381,,,,,,,,,,,
activation,stages.2.7,final,,752640000,474067945,278572055,62.987343882865645,,,,,,,,,,,
activation,stages.2.7,t_mid_spike,,3010560000,2451146188,559413812,81.41828058567177,,,,,,,,,,,
activation,stages.2.7,t_out_spike,,752640000,747040657,5599343,99.25603967368197,,,,,,,,,,,
activation,stages.2.8,final,,752640000,393806289,358833711,52.32332708864796,,,,,,,,,,,
activation,stages.2.8,t_mid_spike,,3010560000,1814786022,1195773978,60.28067940848214,,,,,,,,,,,
activation,stages.2.8,t_out_spike,,752640000,653610585,99029415,86.84239277742347,,,,,,,,,,,
activation,stages.3.0,final,,376320000,273270526,103049474,72.61653008078231,,,,,,,,,,,
activation,stages.3.0,t_mid_spike,,1505280000,1247394019,257885981,82.86790623671344,,,,,,,,,,,
activation,stages.3.0,t_out_spike,,376320000,325981998,50338002,86.62361766581633,,,,,,,,,,,
activation,stages.3.1,final,,376320000,254439262,121880738,67.61247395833334,,,,,,,,,,,
activation,stages.3.1,t_mid_spike,,1505280000,1267068942,238211058,84.17496691645408,,,,,,,,,,,
activation,stages.3.1,t_out_spike,,376320000,350154997,26165003,93.04713993409864,,,,,,,,,,,
activation,stages.3.2,final,,376320000,248813346,127506654,66.11749202806122,,,,,,,,,,,
activation,stages.3.2,t_mid_spike,,1505280000,1337898873,167381127,88.88039919483418,,,,,,,,,,,
activation,stages.3.2,t_out_spike,,376320000,367761260,8558740,97.725674957483,,,,,,,,,,,
operation,downsample_layers.0.0,,dense_conv,,,,,,,,,1,4,4,14450688.0,144506880000,0.0,0
operation,downsample_layers.1.0,,dense_conv,,,,,,,,,1,2,2,57802752.0,578027520000,0.0,0
operation,downsample_layers.2.0,,dense_conv,,,,,,,,,1,2,2,57802752.0,578027520000,0.0,0
operation,downsample_layers.3.0,,dense_conv,,,,,,,,,1,2,2,57802752.0,578027520000,0.0,0
operation,head,,dense_linear,,,,,,,,,,,,7680.0,76800000,0.0,0
operation,stages.0.0,,pw1,,,,,2924267286,3010560000,36864,36864,,,,0.0,0,112291863.7824,1122918637824
operation,stages.0.0,,pw2,,,,,9586874618,12042240000,36864,36864,,,,0.0,0,92033996.3328,920339963328
operation,stages.0.0.dwconv,,depthwise_conv,,,,,,,,,96,7,7,14751744.0,147517440000,0.0,0
operation,stages.0.1,,pw1,,,,,2932788678,3010560000,36864,36864,,,,0.0,0,112619085.2352,1126190852352
operation,stages.0.1,,pw2,,,,,9026339335,12042240000,36864,36864,,,,0.0,0,86652857.616,866528576160
operation,stages.0.1.dwconv,,depthwise_conv,,,,,,,,,96,7,7,14751744.0,147517440000,0.0,0
operation,stages.0.2,,pw1,,,,,2792091017,3010560000,36864,36864,,,,0.0,0,107216295.0528,1072162950528
operation,stages.0.2,,pw2,,,,,7691862503,12042240000,36864,36864,,,,0.0,0,73841880.0288,738418800288
